Text #,URL,Sentiment,Comments
1,https://seekingalpha.com/news/3374980-amazon-hits-new-time-high-earnings, P,
2,https://seekingalpha.com/news/3376791-whatsapp-starts-plan-charge-business-customers, --,
3,https://seekingalpha.com/news/3376048-nyt-facebook-identifies-coordinated-campaign-shape-midterms-updated, mN,
4,https://seekingalpha.com/news/3375151-uk-lawmakers-hold-tech-firms-liable-fake-news, N,
5,https://seekingalpha.com/news/3375133-shareholder-sues-facebook-zuckerberg-tumble, N,
6,https://seekingalpha.com/news/3374905-facebook-yet-bargain-heard-street, N,
7,https://seekingalpha.com/news/3374905-facebook-yet-bargain-heard-street, P,
8,https://seekingalpha.com/news/3376402-huawei-tops-apple-2-smartphone-seller, N,
9,https://seekingalpha.com/article/4192790-apple-aapl-q3-2018-results-earnings-call-transcript, P,
10,https://seekingalpha.com/news/3376351-key-takeaways-apples-q3-call-include-tariff-talk, P,
11,https://seekingalpha.com/news/3376283-apple-plus-2_4-percent-q3-beats-services-time-high, P,
12,https://seekingalpha.com/news/3376555-intercept-google-plans-censored-search-china-baidu-minus-7_6-percent, --, (P from market POV)
13,https://seekingalpha.com/news/3376090-information-capital-one-switches-microsoft-google-cloud-products, P, (for Google, N (for Microsoft)
14,https://seekingalpha.com/news/3376089-waymo-partners-phoenix-public-transit, P,
15,https://seekingalpha.com/news/3375462-google-promotes-general-counsel-svp-global-affairs, --,